Module_ID,module_size,de_in_module,total_genes,total_de,hypergeom_p,expected_overlap,enrichment_ratio,de_category,hypergeom_p_adj,significant
Module_03,4343,1178,39220,2366,0,261.9973992860785,4.4962278374134765,Shared_No_Interaction_annotated_with_FC,0,TRUE
Module_03,4343,1368,39220,4653,4.151803184713011e-303,515.2467873533911,2.6550383885493942,Female_Unique_annotated_with_FC,1.112683253503087e-300,TRUE
Module_05,1299,412,39220,2366,5.0639609959623896e-188,78.36394696583376,5.257519764536997,Shared_No_Interaction_annotated_with_FC,9.047610312786135e-186,TRUE
Module_09,1006,373,39220,2813,1.8890914515919064e-169,72.15395206527282,5.169502006800293,Male_Unique_annotated_with_FC,2.5313825451331544e-167,TRUE
Module_05,1299,424,39220,4653,1.8234710715757628e-90,154.1113462519123,2.7512575180994423,Female_Unique_annotated_with_FC,1.9547609887292177e-88,TRUE
Module_04,1922,338,39220,2366,3.257977949947012e-74,115.94727180010199,2.915118180466776,Shared_No_Interaction_annotated_with_FC,2.910460301952664e-72,TRUE
Module_01,5370,613,39220,2813,2.5289173980350856e-34,385.15578786333504,1.5915637757922283,Male_Unique_annotated_with_FC,1.9364281790668655e-32,TRUE
Module_01,5370,849,39220,4653,9.203675150312883e-21,637.0884752677206,1.3326249539253223,Female_Unique_annotated_with_FC,6.166462350709632e-19,FALSE
Module_31,182,56,39220,4653,8.49259550809553e-12,21.592197858235593,2.5935294020400406,Female_Unique_annotated_with_FC,5.057812435932449e-10,TRUE
Module_04,1922,214,39220,2813,6.8331063551187e-11,137.85277919428862,1.5523807445215891,Male_Unique_annotated_with_FC,3.6625450063436237e-9,TRUE
Module_16,401,17,39220,228,2.711492705925741e-10,2.331157572667007,7.29251432821455,Shared_With_Interaction_annotated_with_FC,1.3212364457965429e-8,TRUE
Module_14,421,92,39220,4653,4.313577602947638e-9,49.94678735339113,1.8419603116626413,Female_Unique_annotated_with_FC,1.9267313293166117e-7,TRUE
Module_31,182,31,39220,2366,1.5872253002599536e-7,10.979398266190719,2.8234698522103425,Shared_No_Interaction_annotated_with_FC,6.229718745070246e-6,TRUE
Module_127,36,17,39220,4653,1.6271653438616313e-7,4.270984191738909,3.980347207297562,Female_Unique_annotated_with_FC,6.229718745070246e-6,TRUE
Module_65,81,21,39220,2813,1.7655740149334381e-7,5.809612442631311,3.614698950639228,Male_Unique_annotated_with_FC,6.308984480028819e-6,TRUE
Module_04,1922,301,39220,4653,2.211658290160984e-7,228.02310045894953,1.3200416948728768,Female_Unique_annotated_with_FC,7.409055272039296e-6,FALSE
Module_11,699,87,39220,2813,3.90950628256482e-7,50.134803671596124,1.735321445953719,Male_Unique_annotated_with_FC,1.232644333796908e-5,TRUE
Module_05,1299,24,39220,228,7.008219414925599e-7,7.551555328913819,3.178153235282201,Shared_With_Interaction_annotated_with_FC,2.0868920035556228e-5,TRUE
Module_62,86,20,39220,2813,2.2148434992937327e-6,6.168230494645589,3.242420985623228,Male_Unique_annotated_with_FC,6.248190082218109e-5,TRUE
Module_23,253,55,39220,4653,5.9720496206292385e-6,30.015527791942887,1.8323849036152458,Female_Unique_annotated_with_FC,1.600509298328636e-4,TRUE
Module_84,65,16,39220,2813,1.035753775450426e-5,4.66203467618562,3.4319779047827392,Male_Unique_annotated_with_FC,2.643638207816326e-4,TRUE
Module_60,86,6,39220,228,1.1526879801615875e-5,0.499949005609383,12.001223990208079,Shared_With_Interaction_annotated_with_FC,2.80836707893914e-4,TRUE
Module_20,285,57,39220,4653,5.2666201251410116e-5,33.811958184599696,1.6857941113260262,Female_Unique_annotated_with_FC,0.0012273514726415574,TRUE
Module_121,41,11,39220,2813,1.0667236229674296e-4,2.9406680265170833,3.7406466492677724,Male_Unique_annotated_with_FC,0.0023823494246272593,TRUE
Module_86,64,14,39220,2813,1.451083458125073e-4,4.590311065782764,3.0499022396018485,Male_Unique_annotated_with_FC,0.003111122934220157,TRUE
Module_59,89,5,39220,228,1.773232288554667e-4,0.517389087200408,9.663906958407253,Shared_With_Interaction_annotated_with_FC,0.0036555865640973137,TRUE
Module_101,51,4,39220,228,2.24357339299252e-4,0.29648138704742477,13.49157206742346,Shared_With_Interaction_annotated_with_FC,0.00445390866164441,TRUE
Module_29,202,29,39220,2813,2.7766867518807755e-4,14.488169301376848,2.0016331530060225,Male_Unique_annotated_with_FC,0.00531537178217177,TRUE
Module_59,89,15,39220,2813,0.0015946781543632919,6.383401325854156,2.349844422165148,Male_Unique_annotated_with_FC,0.0294740514047836,TRUE
Module_118,42,3,39220,228,0.0018830425467233733,0.24416114227434982,12.286967418546366,Shared_With_Interaction_annotated_with_FC,0.033360137505837016,TRUE
Module_103,51,14,39220,4653,0.001929410937837589,6.050560938296788,2.313835054761212,Female_Unique_annotated_with_FC,0.033360137505837016,TRUE
Module_124,39,11,39220,4653,0.004554488913091391,4.626899541050484,2.377401951870037,Female_Unique_annotated_with_FC,0.07453184005400204,FALSE
Module_45,117,15,39220,2366,0.004588714033175499,7.058184599694034,2.1251923618787525,Shared_No_Interaction_annotated_with_FC,0.07453184005400204,FALSE
Module_45,117,24,39220,4653,0.005043974197112653,13.880698623151453,1.729019601360027,Female_Unique_annotated_with_FC,0.0795167696956583,FALSE
Module_85,64,15,39220,4653,0.006971154941485373,7.592860785313616,1.975539974210187,Female_Unique_annotated_with_FC,0.10675825853246172,FALSE
Module_12,509,79,39220,4653,0.0077484489106603455,60.38697093319735,1.3082292219524172,Female_Unique_annotated_with_FC,0.11536579489205404,FALSE
Module_115,43,8,39220,2813,0.010482893283947168,3.0841152473227944,2.5939367884985822,Male_Unique_annotated_with_FC,0.1518602918971806,FALSE
Module_58,90,13,39220,2813,0.011820481922823995,6.455124936257012,2.013903701070427,Male_Unique_annotated_with_FC,0.16673100817457004,FALSE
Module_62,86,3,39220,228,0.013929830886516961,0.499949005609383,6.000611995104039,Shared_With_Interaction_annotated_with_FC,0.19144588090187412,FALSE
Module_83,65,10,39220,2813,0.016906717258706808,4.66203467618562,2.1449861904892122,Male_Unique_annotated_with_FC,0.22655001126667124,FALSE
Module_47,110,21,39220,4653,0.01842504542085415,13.050229474757776,1.6091671062657524,Female_Unique_annotated_with_FC,0.2408737645262884,FALSE
Module_107,48,11,39220,4653,0.022677696212365695,5.694645588985211,1.9316390858944052,Female_Unique_annotated_with_FC,0.2894105992816194,FALSE
Module_121,41,2,39220,228,0.023776943032173797,0.23834778174400817,8.391099700470688,Shared_With_Interaction_annotated_with_FC,0.2963823596568641,FALSE
Module_92,61,13,39220,4653,0.024897658798628906,7.23694543600204,1.7963379874785523,Female_Unique_annotated_with_FC,0.303298752637843,FALSE
Module_20,285,5,39220,228,0.026034058124018912,1.6568077511473738,3.0178516466605108,Shared_With_Interaction_annotated_with_FC,0.3100945589883142,FALSE
Module_101,51,8,39220,2813,0.02780429806958591,3.65790413054564,2.1870447432439026,Male_Unique_annotated_with_FC,0.32398051663691413,FALSE
Module_18,323,50,39220,4653,0.03002773903728708,38.32021927587965,1.3047942038127138,Female_Unique_annotated_with_FC,0.3361947798388923,FALSE
Module_12,509,7,39220,228,0.030106995209453043,2.9590005099439063,2.3656636680108916,Shared_With_Interaction_annotated_with_FC,0.3361947798388923,FALSE
Module_49,108,13,39220,2813,0.04556603765347399,7.746149923508414,1.6782530842253558,Male_Unique_annotated_with_FC,0.4984366567808583,FALSE
Module_38,147,3,39220,228,0.054731552681863874,0.8545639979602244,3.5105621195846757,Shared_With_Interaction_annotated_with_FC,0.5867222447495808,FALSE
Module_76,69,9,39220,2813,0.05751389354494556,4.948929117797042,1.8185752484582451,Male_Unique_annotated_with_FC,0.5993637834783136,FALSE
Module_77,67,2,39220,228,0.058147232725508036,0.3894951555328914,5.134852055511914,Shared_With_Interaction_annotated_with_FC,0.5993637834783136,FALSE
Module_03,4343,33,39220,228,0.0663197600430898,25.24742478327384,1.307063998933553,Shared_With_Interaction_annotated_with_FC,0.6707054977942666,FALSE
Module_09,1006,10,39220,228,0.07069225912598262,5.848240693523713,1.709915942938858,Shared_With_Interaction_annotated_with_FC,0.7016861276208645,FALSE
Module_116,42,6,39220,2813,0.07748752637914699,3.0123916369199386,1.9917728911685544,Male_Unique_annotated_with_FC,0.7551511661676871,FALSE
Module_66,80,2,39220,228,0.07918320388363687,0.465068842427333,4.300438596491228,Shared_With_Interaction_annotated_with_FC,0.7578963800290957,FALSE
Module_73,74,9,39220,2813,0.08206321474351225,5.307547169811321,1.6956985424813367,Male_Unique_annotated_with_FC,0.7716821596933784,FALSE
Module_98,53,10,39220,4653,0.09142939712250082,6.287837837837838,1.5903718031377605,Female_Unique_annotated_with_FC,0.84493373892518,FALSE
Module_57,90,2,39220,228,0.09671502088248272,0.5232024477307496,3.8226120857699804,Shared_With_Interaction_annotated_with_FC,0.8786313761527245,FALSE
Module_56,92,2,39220,228,0.10034360077909932,0.5348291687914329,3.7395118230358504,Shared_With_Interaction_annotated_with_FC,0.8964028336266205,FALSE
Module_57,90,10,39220,2813,0.11049517902369187,6.455124936257012,1.5491566931310976,Male_Unique_annotated_with_FC,0.9709084583065385,FALSE
Module_19,320,4,39220,228,0.11724350315303593,1.860275369709332,2.150219298245614,Shared_With_Interaction_annotated_with_FC,1,FALSE
Module_10,856,8,39220,228,0.12796595442199485,4.976236613972463,1.6076405968191507,Shared_With_Interaction_annotated_with_FC,1,FALSE
Module_75,71,8,39220,2813,0.13519438275996995,5.092376338602754,1.5709758014850568,Male_Unique_annotated_with_FC,1,FALSE
Module_60,86,9,39220,2813,0.16282072554246876,6.168230494645589,1.4590894435304524,Male_Unique_annotated_with_FC,1,FALSE
Module_99,53,9,39220,4653,0.1711158921145664,6.287837837837838,1.4313346228239845,Female_Unique_annotated_with_FC,1,FALSE
Module_58,90,8,39220,2366,0.17562981640028313,5.42937276899541,1.473466704235935,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_129,34,1,39220,228,0.17988827664587514,0.19765425803161651,5.059339525283798,Shared_With_Interaction_annotated_with_FC,1,FALSE
Module_23,253,3,39220,228,0.18303748821489413,1.4707802141764406,2.0397337216559186,Shared_With_Interaction_annotated_with_FC,1,FALSE
Module_122,40,7,39220,4653,0.19012315837014393,4.74553799082101,1.4750698474102728,Female_Unique_annotated_with_FC,1,FALSE
Module_113,44,5,39220,2813,0.20575094674841454,3.15583885772565,1.584364799793168,Male_Unique_annotated_with_FC,1,FALSE
Module_45,117,11,39220,2813,0.2178920144905541,8.391662417134116,1.3108248941878518,Male_Unique_annotated_with_FC,1,FALSE
Module_47,110,9,39220,2366,0.2192659897816656,6.63590005099439,1.3562591254898948,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_129,34,4,39220,2813,0.22471817884509634,2.438602753697093,1.640283557432927,Male_Unique_annotated_with_FC,1,FALSE
Module_59,89,13,39220,4653,0.2540559735389577,10.558822029576747,1.2311979464740639,Female_Unique_annotated_with_FC,1,FALSE
Module_60,86,7,39220,2366,0.2617213684030473,5.1880673125956145,1.3492500344020917,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_90,62,6,39220,2813,0.2842871048821389,4.446863844977052,1.3492655069206336,Male_Unique_annotated_with_FC,1,FALSE
Module_71,76,11,39220,4653,0.2880665657388121,9.016522182559918,1.2199825805648876,Female_Unique_annotated_with_FC,1,FALSE
Module_92,61,1,39220,228,0.29947335405639974,0.35461499235084143,2.8199597354040837,Shared_With_Interaction_annotated_with_FC,1,FALSE
Module_30,191,2,39220,228,0.3049693079699217,1.1103518612952574,1.8012308257554883,Shared_With_Interaction_annotated_with_FC,1,FALSE
Module_86,64,1,39220,228,0.3116388298045728,0.3720550739418664,2.6877741228070176,Shared_With_Interaction_annotated_with_FC,1,FALSE
