"category","subcategory","pathway","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comp"
"Cellular Processes","Transport and catabolism","ko04142 Lysosome","ko04142","Lysosome","31/772","65/3177",0.476923076923077,1.96267437225986,4.442297617342,2.90288379617073e-05,0.00931825698570803,0.00898366143235993,"K12392/K12389/K04646/K01195/K13443/K06564/K01204/K12384/K01052/K01373/K03662/K06497/K12301/K06546/K12373/K01365/K02146/K12396/K01205/K12391/K03661/K02155/K01192/K01074/K01201/K01135/K12350/K12385/K01363/K01374/K02144",31,"Female"
"Metabolism","Global and overview maps","ko01110 Biosynthesis of secondary metabolites","ko01110","Biosynthesis of secondary metabolites","89/772","264/3177",0.337121212121212,1.38734985869053,3.72328670591726,0.000200195322831012,0.0321313493143774,0.0309775920591145,"K00953/K10250/K00825/K01623/K00901/K06125/K01758/K01904/K00643/K01092/K00252/K00382/K01648/K01195/K00699/K01783/K10245/K00036/K00121/K00616/K01194/K15779/K15728/K01953/K07508/K01053/K08658/K02259/K01749/K13356/K11262/K13517/K12317/K01590/K09828/K00944/K09478/K13644/K00030/K16343/K01900/K00750/K01785/K01810/K01187/K00026/K01115/K00797/K01620/K00830/K01895/K11787/K00318/K01965/K01834/K01803/K01007/K09831/K00547/K00600/K15890/K00693/K13513/K01593/K01490/K17744/K12504/K07515/K00629/K01679/K01738/K00134/K00627/K00164/K01940/K00264/K00939/K23265/K01915/K00115/K00281/K01080/K01945/K01899/K13811/K01652/K01613/K00700/K00016",89,"Female"
"Metabolism","Energy metabolism","ko00190 Oxidative phosphorylation","ko00190","Oxidative phosphorylation","49/525","90/3177",0.544444444444444,3.29466666666667,9.82439206418121,6.59700457969477e-17,2.05826542886477e-14,1.80549599023225e-14,"K02140/K00417/K03946/K02151/K02272/K03938/K03948/K02270/K00236/K03934/K03937/K02265/K02264/K03953/K02148/K02267/K02137/K02147/K03955/K02128/K03957/K03960/K02152/K00420/K03958/K03941/K03963/K03959/K11351/K02268/K03945/K11352/K11353/K02273/K00412/K03962/K02135/K03943/K03965/K03956/K02131/K02145/K03952/K01507/K00411/K03949/K02144/K02138/K03936",49,"Overlap"
"Metabolism","Global and overview maps","ko01110 Biosynthesis of secondary metabolites","ko01110","Biosynthesis of secondary metabolites","86/525","264/3177",0.325757575757576,1.9712987012987,7.33191915995697,1.29361526573516e-11,1.00901990727343e-09,8.85105181818794e-10,"K07509/K00819/K00699/K01904/K08683/K01176/K00228/K10258/K01476/K00901/K01047/K01681/K01057/K00252/K09699/K01599/K01596/K10245/K07511/K00236/K00030/K00167/K01194/K10251/K01081/K11529/K14085/K00161/K00232/K03781/K00227/K01188/K01590/K01079/K00002/K10703/K06134/K00927/K00022/K01754/K01885/K01785/K00049/K00602/K00318/K01772/K00249/K12657/K01648/K00826/K00600/K01900/K01692/K00605/K01587/K00764/K14454/K01703/K01966/K19177/K00993/K00058/K01719/K19269/K11517/K00861/K00264/K14455/K00948/K10757/K00963/K00939/K01581/K00033/K00750/K00025/K02437/K00106/K01195/K00931/K01697/K01053/K00626/K00006/K00789/K15759",86,"Overlap"
"Metabolism","Global and overview maps","ko01120 Microbial metabolism in diverse environments","ko01120","Microbial metabolism in diverse environments","43/525","114/3177",0.37719298245614,2.28255639097744,6.20423922441374,2.34723620647128e-08,8.22231092700923e-07,7.21255344474494e-07,"K01681/K01057/K00252/K18334/K01555/K01596/K07511/K00236/K00030/K11529/K14085/K01796/K00161/K01079/K00288/K00002/K00927/K00022/K01885/K01785/K00049/K00139/K01648/K00600/K01900/K01692/K14454/K01966/K00058/K01719/K11517/K00264/K14455/K22470/K00948/K00029/K00033/K00025/K00106/K01053/K00626/K15759/K00275",43,"Overlap"
"Organismal Systems","Environmental adaptation","ko04714 Thermogenesis","ko04714","Thermogenesis","49/525","138/3177",0.355072463768116,2.14869565217391,6.1377940116495,2.3718204597142e-08,8.22231092700923e-07,7.21255344474494e-07,"K02140/K00417/K03946/K02272/K03938/K03948/K02270/K00236/K03934/K15109/K03937/K11650/K02265/K02264/K03953/K09048/K17797/K02267/K11651/K08045/K02137/K03955/K02128/K03957/K03960/K00420/K03958/K03941/K03963/K03959/K11351/K02268/K03945/K11352/K11353/K02273/K00412/K03962/K02135/K03943/K03965/K03956/K02131/K03952/K00411/K03949/K02138/K11647/K03936",49,"Overlap"
"Organismal Systems","Nervous system","ko04723 Retrograde endocannabinoid signaling","ko04723","Retrograde endocannabinoid signaling","28/525","62/3177",0.451612903225806,2.73290322580645,6.13019469777661,8.7349709877063e-08,2.72531094816437e-06,2.39062363874067e-06,"K03946/K03938/K04539/K03948/K03934/K03937/K03953/K08045/K03955/K03957/K03960/K03958/K15015/K03941/K03963/K03959/K11351/K03945/K11352/K11353/K03962/K03943/K03965/K03956/K03952/K03949/K05858/K03936",28,"Overlap"
"Metabolism","Global and overview maps","ko01200 Carbon metabolism","ko01200","Carbon metabolism","29/525","74/3177",0.391891891891892,2.37150579150579,5.31074876326524,1.99807160470536e-06,5.19498617223393e-05,4.55700541424029e-05,"K01681/K01057/K07511/K00236/K00030/K11529/K00161/K00232/K03781/K01079/K00927/K01754/K00600/K01900/K00605/K14454/K01966/K00058/K19269/K11517/K14455/K05605/K00948/K00029/K00033/K00025/K02437/K01053/K00626",29,"Overlap"
"Metabolism","Carbohydrate metabolism","ko00630 Glyoxylate and dicarboxylate metabolism","ko00630","Glyoxylate and dicarboxylate metabolism","13/525","23/3177",0.565217391304348,3.42037267080745,5.18260909389035,1.36490157646983e-05,0.000304178065613277,0.00026682286457305,"K01681/K11529/K03781/K00049/K00600/K00605/K01966/K19269/K11517/K00025/K02437/K01816/K00626",13,"Overlap"
"Organismal Systems","Circulatory system","ko04260 Cardiac muscle contraction","ko04260","Cardiac muscle contraction","15/525","30/3177",0.5,3.02571428571429,4.95933659693753,2.11502074533323e-05,0.000439924315029311,0.000385898521955536,"K00417/K02272/K02270/K05853/K02265/K02264/K02267/K04962/K00420/K01540/K02268/K02273/K00412/K12044/K00411",15,"Overlap"
