category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module_id,bg_ratio_numeric,enrichment_ratio
Cellular Processes,Cell growth and death,ko04110,Cell cycle,51/1034,133/14385,0.38345864661654133,5.3346737249312834,13.97614943516211,1.0051278179817266e-24,3.85969082104983e-22,1.8092300723671078e-22,K03363/K04683/K03348/K02202/K04728/K02087/K06628/K04501/K02213/K06670/K05866/K02541/K02212/K11584/K03355/K02180/K06671/K02603/K02206/K03875/K06669/K06632/K06627/K08866/K11267/K02209/K02607/K02540/K04682/K02216/K10779/K11547/K06626/K02210/K06641/K03351/K06672/K02605/K04498/K09389/K06631/K25163/K06625/K06619/K02089/K02178/K11273/K11268/K23605/K02604/K04377,51,Module_01,0.009245742092457421,2.386868295793573
Genetic Information Processing,Translation,ko03013,Nucleocytoplasmic transport,40/1034,98/14385,0.40816326530612246,5.678364189002487,12.932418516020762,7.64574631420037e-21,1.4679832923264712e-18,6.881171682780334e-19,K09291/K15436/K14284/K14299/K14304/K14301/K18460/K14311/K25202/K14328/K14300/K25203/K07936/K14327/K25204/K13171/K12879/K18423/K20221/K25129/K23583/K15043/K14309/K13176/K12882/K13151/K14310/K14295/K14294/K12876/K14312/K25201/K18752/K12172/K15042/K14324/K14302/K14306/K14317/K14305,40,Module_01,0.006812652068126521,2.5406441243741114
Cellular Processes,Cell growth and death,ko04218,Cellular senescence,40/1034,117/14385,0.3418803418803419,4.756236671130288,11.352918951402186,1.3764020027283062e-17,1.761794563492232e-15,8.258412016369837e-16,K09183/K04728/K02087/K07203/K20858/K04674/K07827/K10867/K04348/K02649/K10994/K02206/K04958/K04368/K06269/K06627/K11411/K21776/K07208/K04443/K21774/K07207/K02183/K04682/K02216/K02678/K07206/K06626/K06641/K10752/K01110/K09389/K21775/K00922/K08826/K06625/K10866/K02089/K23605/K04377,40,Module_01,0.00813347236704901,2.1280608905013922
Cellular Processes,Transport and catabolism,ko04140,Autophagy - animal,42/1034,132/14385,0.3181818181818182,4.426542992790575,11.006093980992443,4.256506629326823e-17,4.08624636415375e-15,1.9154279831970702e-15,K17890/K08336/K05410/K03237/K03175/K07203/K21249/K21245/K08333/K17889/K07827/K23883/K04427/K02649/K08334/K08337/K04958/K08852/K07198/K17908/K04368/K19330/K07204/K08509/K07208/K21247/K07207/K20184/K17906/K08269/K04688/K07206/K16186/K07298/K19730/K20180/K11248/K01110/K04440/K22991/K08342/K00922,42,Module_01,0.009176225234619395,1.9805475787734552
Genetic Information Processing,Translation,ko03015,mRNA surveillance pathway,27/1034,63/14385,0.42857142857142855,5.962282398452611,10.984824545072549,3.853898481251965e-15,2.562819277133939e-13,1.2013215361565338e-13,K08873/K11124/K14284/K14409/K14411/K11583/K14328/K11584/K04354/K23600/K14327/K14962/K13171/K06269/K15541/K14404/K14401/K14398/K12882/K13917/K06100/K14397/K14294/K00565/K12876/K14324/K14402,27,Module_01,0.004379562043795621,2.6676763305928164
Genetic Information Processing,Transcription,ko03040,Spliceosome,38/1034,123/14385,0.3089430894308943,4.298013869887248,10.222521344640917,4.0044051205217794e-15,2.562819277133939e-13,1.2013215361565338e-13,K12845/K03283/K12829/K12841/K11092/K12837/K11087/K12870/K12867/K12855/K12821/K12662/K12857/K12817/K12838/K12879/K12864/K12827/K12823/K12811/K12828/K12869/K11088/K12862/K12882/K11093/K12822/K12844/K12856/K11984/K09564/K12627/K12824/K12876/K12890/K12852/K11096/K06063,38,Module_01,0.008550573514077163,1.923040390075039
Genetic Information Processing,Translation,ko03008,Ribosome biogenesis in eukaryotes,30/1034,83/14385,0.3614457831325301,5.028430938454009,10.242825892828229,2.8574568238710846e-14,1.5675191719521378e-12,7.347746118525646e-13,K12845/K14544/K14284/K14569/K14558/K12619/K13288/K11128/K14561/K14537/K14539/K14548/K11130/K03097/K14536/K14557/K14552/K03537/K07936/K14573/K14523/K14550/K14554/K11131/K03685/K14546/K03539/K14570/K11883/K01164,30,Module_01,0.005769899200556135,2.2498475077288815
Environmental Information Processing,Signal transduction,ko04150,mTOR signaling pathway,35/1034,117/14385,0.29914529914529914,4.161707087239002,9.55600177842288,1.4382705496513688e-13,5.522958910661256e-12,2.5888869893724636e-12,K20409/K02151/K04373/K06519/K07203/K14299/K20406/K07827/K00445/K02649/K02353/K07209/K03875/K07198/K04368/K04527/K07204/K20401/K07208/K07207/K10421/K08269/K01064/K20405/K04688/K08271/K07206/K16186/K08267/K07298/K20408/K01110/K20397/K00922/K00408,35,Module_01,0.00813347236704901,1.862053279188718
Environmental Information Processing,Signal transduction,ko04013,MAPK signaling pathway - fly,29/1034,85/14385,0.3411764705882353,4.746444419160314,9.640597399690199,4.2669576774559465e-13,1.4655343063403188e-11,6.869692060970244e-12,K20228/K20235/K16691/K08892/K04506/K20220/K03175/K06279/K18529/K07827/K04427/K07364/K17608/K13578/K04368/K20234/K04352/K17536/K04508/K05704/K20225/K02678/K04440/K12377/K20226/K04431/K13411/K12378/K08601,29,Module_01,0.005908932916232186,2.1236795886680073
Cellular Processes,Transport and catabolism,ko04144,Endocytosis,42/1034,169/14385,0.2485207100591716,3.4574181955524015,8.942870114517614,5.989056260171684e-13,1.69403631518621e-11,7.940795227435359e-12,K03283/K18463/K18465/K19476/K03175/K05755/K00910/K17918/K18443/K12200/K04674/K07941/K12475/K11824/K06093/K12484/K18462/K11247/K12481/K04678/K17917/K06564/K05754/K18466/K12494/K12479/K01528/K12488/K12562/K18461/K12472/K05704/K12485/K12482/K12495/K11248/K17920/K10364/K04679/K12185/K23605/K18464,42,Module_01,0.011748348974626347,1.5469365704029352
