"qry_transcript_id","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code","male_log2FoldChange"
"TU27594","LOC111509951","G15580","small nuclear ribonucleoprotein-associated protein B-like","refseq","XM_023165808.1","small nuclear ribonucleoprotein-associated protein B-like","=",-0.438905498640375
"TU38569","LOC111514202","G22292","uncharacterized LOC111514202","refseq","XM_023170441.1","uncharacterized LOC111514202","o",-2.57724979852968
"TU38566","LOC111514201","G22290","GPI ethanolamine phosphate transferase 2","refseq","XM_023170440.1","GPI ethanolamine phosphate transferase 2","=",0.81111722337032
"TU4610","LOC111517404","G2558","uncharacterized LOC111517404","refseq","XM_023173552.1","uncharacterized LOC111517404","m",-1.12508999796536
"TU4735","LOC111517500","G2626","serine/threonine-protein kinase OSR1","refseq","XM_023173675.1","serine/threonine-protein kinase OSR1, transcript variant X1","j",0.684829133685944
"TU39118","LOC111514421","G22636","uncharacterized LOC111514421","refseq","XM_023170661.1","uncharacterized LOC111514421","=",1.11474825973534
"TU42090","LOC111515664","G24618","uncharacterized LOC111515664","refseq","XR_002723574.1","uncharacterized LOC111515664","e",-1.93908889010396
"TU21734","LOC111507694","G12196","ras association domain-containing protein 4","refseq","XM_023163042.1","ras association domain-containing protein 4","=",0.68813991321425
"TU21731","LOC111507693","G12193","polycystic kidney disease 2-like 1 protein","refseq","XM_023163041.1","polycystic kidney disease 2-like 1 protein","j",-1.37884637545883
"TU22429","LOC111507959","G12616","arp2/3 complex-activating protein rickA-like","refseq","XM_023163352.1","arp2/3 complex-activating protein rickA-like, transcript variant X2","=",22.6787780041363
"TU22427","LOC111507959","G12616","arp2/3 complex-activating protein rickA-like","refseq","XM_023163351.1","arp2/3 complex-activating protein rickA-like, transcript variant X1","=",-0.988459839835674
"TU21889","LOC111507762","G12290","sphingosine kinase 2-like","refseq","XM_023163108.1","sphingosine kinase 2-like, transcript variant X2","=",18.0522549778429
"TU34901","LOC111512791","G19982","ABC transporter F family member 4-like","refseq","XM_023168950.1","ABC transporter F family member 4-like","=",0.575424472992654
"TU8286","LOC111502430","G4604","GRAM domain-containing protein 1B-like","refseq","XM_023156508.1","GRAM domain-containing protein 1B-like","y",0.669190692359387
"TU15504","LOC111505318","G8754","activin receptor type-2A","refseq","XM_023160097.1","activin receptor type-2A, transcript variant X1","o",24.3651565176441
"TU18158","LOC111506298","G10199","enhancer of mRNA-decapping protein 3","refseq","XM_023161328.1","enhancer of mRNA-decapping protein 3","j",0.755929164821294
"TU26055","LOC111509362","G14707","single-minded homolog 1","refseq","XM_023165087.1","single-minded homolog 1","=",20.6414189567573
"TU23485",NA,"G13231","* SCAN domain-containing protein 3","novel","KAE9535278","SCAN domain-containing protein 3","u",0.581729709381144
"TU11996","LOC111503882","G6708","uncharacterized LOC111503882","refseq","XR_002721927.1","uncharacterized LOC111503882, transcript variant X2","=",-1.70201522675173
"TU11997","LOC111503882","G6708","uncharacterized LOC111503882","refseq","XR_002721926.1","uncharacterized LOC111503882, transcript variant X1","=",-0.902451316683604
"TU36856",NA,"G21194","* ---NA---","novel",NA,"---NA---","u",1.27243205866507
"TU43547","LOC111516260","G25645","uncharacterized LOC111516260","refseq","XR_002723645.1","uncharacterized LOC111516260","=",0.730726619098291
"TU43540","LOC111516255","G25639","uncharacterized LOC111516255","refseq","XM_023172433.1","uncharacterized LOC111516255","j",19.8325931141495
"TU43541","LOC111516257","G25640","uncharacterized LOC111516257","refseq","XM_023172435.1","uncharacterized LOC111516257","=",-4.87966830655008
"TU43543","LOC111516258","G25641","uncharacterized LOC111516258","refseq","XM_023172436.1","uncharacterized LOC111516258","j",19.7032122037332
"TU7075",NA,"G3934","* probable G-protein coupled receptor Mth-like 1","novel","KAG5898107","probable G-protein coupled receptor Mth-like 1","u",0.77994250180487
"TU17896","LOC111506214","G10065","centaurin-gamma-1A","refseq","XM_023161227.1","centaurin-gamma-1A","j",0.78912046922215
"TU17893","LOC111506213","G10063","proteoglycan Cow","refseq","XM_023161226.1","proteoglycan Cow","c",1.17120591359627
"TU17891","LOC111506213","G10061","proteoglycan Cow","refseq","XM_023161226.1","proteoglycan Cow","j",0.940687015413797
"TU19364","LOC111506758","G10852","piggyBac transposable element-derived protein 4-like","refseq","XM_023161961.1","piggyBac transposable element-derived protein 4-like","e",1.06150932759471
"TU44872","LOC111516860","G26661","protein polybromo-1-like","refseq","XM_023172963.1","protein polybromo-1-like","j",20.2742494039413
"TU37880","LOC111513925","G21850","transmembrane 9 superfamily member 2","refseq","XM_023170144.1","transmembrane 9 superfamily member 2","x",0.721091364989438
"TU7168","LOC111501989","G3987","tyrosine-protein kinase shark","refseq","XM_023155932.1","tyrosine-protein kinase shark","j",5.79321625668115
"TU32835","LOC111512034","G18748","zinc finger protein 84-like","refseq","XM_023168125.1","zinc finger protein 84-like","o",-1.68614662797645
"TU11031","LOC111503501","G6145","supervillin-like","refseq","XM_023157812.1","supervillin-like, transcript variant X2","=",6.40392114811848
"TU14206","LOC111504795","G7995","3-ketoacyl-CoA thiolase","refseq","XM_023159486.1","3-ketoacyl-CoA thiolase, mitochondrial-like","i",-3.29855951796929
"TU36820","LOC111513530","G21170","E3 ubiquitin-protein ligase RNF19B-like","refseq","XM_023169749.1","E3 ubiquitin-protein ligase RNF19B-like","c",0.879532466258137
"TU2944","LOC111511596","G1581","cyclic nucleotide-gated cation channel beta-1-like","refseq","XM_023167635.1","cyclic nucleotide-gated cation channel beta-1-like, transcript variant X2","j",-3.93003680370227
"TU40024","LOC111514804","G23214","DNA repair protein complementing XP-C cells homolog","refseq","XM_023171045.1","DNA repair protein complementing XP-C cells homolog, transcript variant X2","=",20.4241075018007
"TU26294","LOC111509459","G14832","uncharacterized LOC111509459","refseq","XM_023165219.1","uncharacterized LOC111509459","j",-23.3991037133766
"TU8953","LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156864.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X2","j",20.2331802714877
"TU8954","LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156864.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X2","j",4.0397108439823
"TU8956","LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156863.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X1","j",22.1940275883258
