"qry_transcript_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code"
"TU1229",20029.9294466802,-1.05173385907984,0.372663711758226,0.000214520529102975,0.00287701703836591,"LOC111503702","G627","ATP synthase subunit g","refseq","XM_023158075.1","ATP synthase subunit g, mitochondrial","="
"TU27594",4497.36672995613,-0.438905498640375,0.0853270278371381,1.74187802989002e-07,6.41445292312617e-06,"LOC111509951","G15580","small nuclear ribonucleoprotein-associated protein B-like","refseq","XM_023165808.1","small nuclear ribonucleoprotein-associated protein B-like","="
"TU27597",1363.66777048051,-0.626720567369528,0.160452271347389,3.41091433259475e-05,0.000609641577544419,"LOC111509949","G15583","small nuclear ribonucleoprotein F","refseq","XM_023165804.1","small nuclear ribonucleoprotein F, transcript variant X1","="
"TU38569",2503.19924266072,-2.57724979852968,0.431813154516778,7.57960772625068e-12,8.20316266419514e-10,"LOC111514202","G22292","uncharacterized LOC111514202","refseq","XM_023170441.1","uncharacterized LOC111514202","o"
"TU32294",5864.49885316644,1.25155908851727,0.215076632282919,9.50365427780976e-11,8.07810613613829e-09,"LOC111511811","G18403","choline transporter-like protein 1","refseq","XM_023167828.1","choline transporter-like protein 1","j"
"TU38565",3613.58995871128,2.33449450410574,0.382334451021709,4.47041680647772e-12,5.01306077425197e-10,NA,"G22289","* ubiquitin carboxyl-terminal hydrolase 2 ","novel","XP_023013521","ubiquitin carboxyl-terminal hydrolase 2 isoform X2","u"
"TU4612",16118.5247041662,-2.02927081921942,0.6273585209629,5.10634358555607e-06,0.000118595865059421,"LOC111517452","G2560","regucalcin-like","refseq","XM_023173611.1","regucalcin-like, transcript variant X1","j"
"TU38566",2590.4503732211,0.81111722337032,0.230519354146533,6.59023817807747e-05,0.00107001555765296,"LOC111514201","G22290","GPI ethanolamine phosphate transferase 2","refseq","XM_023170440.1","GPI ethanolamine phosphate transferase 2","="
"TU4610",243.832682554423,-1.12508999796536,0.536836875371135,0.0012060583922635,0.0120865555703822,"LOC111517404","G2558","uncharacterized LOC111517404","refseq","XM_023173552.1","uncharacterized LOC111517404","m"
"TU4735",7538.38812414177,0.684829133685944,0.173971787656088,2.38184174056069e-05,0.000450131817264337,"LOC111517500","G2626","serine/threonine-protein kinase OSR1","refseq","XM_023173675.1","serine/threonine-protein kinase OSR1, transcript variant X1","j"
"TU32836",724.175632907508,-1.20387211569568,0.324632848885681,4.80549969264879e-06,0.000113018795677394,"LOC111512035","G18749","thioredoxin-like protein 4A","refseq","XM_023168126.1","thioredoxin-like protein 4A, transcript variant X1","="
"TU20067",1139.14137192322,-0.674209308534128,0.0925320170663133,1.05359672511731e-13,1.5690162430447e-11,NA,"G11267","* Transposable element Tc3 transposase","novel","VEN41155","Transposable element Tc3 transposase","r"
"TU39118",1223.89852518303,1.11474825973534,0.256281965363119,4.30671837218099e-07,1.41267951538589e-05,"LOC111514421","G22636","uncharacterized LOC111514421","refseq","XM_023170661.1","uncharacterized LOC111514421","="
"TU30470",14857.9081155107,-0.641041753046492,0.16516940981452,3.57127764940723e-05,0.000635861630260311,"LOC111511096","G17286","nucleolar protein 58","refseq","XM_023167098.1","nucleolar protein 58","j"
"TU30471",2456.70001910173,-0.665854306026627,0.152887150174371,4.24612747508762e-06,0.000101465549356555,"LOC111511102","G17287","ubiquitin-conjugating enzyme E2 G2","refseq","XM_023167106.1","ubiquitin-conjugating enzyme E2 G2","="
"TU42090",32.1743919854314,-1.93908889010396,1.86449416675827,0.00243216499696038,0.0212286982280329,"LOC111515664","G24618","uncharacterized LOC111515664","refseq","XR_002723574.1","uncharacterized LOC111515664","e"
"TU21734",4715.7136369341,0.68813991321425,0.186452517488084,6.23443228411842e-05,0.00102025456675925,"LOC111507694","G12196","ras association domain-containing protein 4","refseq","XM_023163042.1","ras association domain-containing protein 4","="
"TU21731",7.06163203259149,-1.37884637545883,1.490686013605,0.00560377340123613,0.0409316232544675,"LOC111507693","G12193","polycystic kidney disease 2-like 1 protein","refseq","XM_023163041.1","polycystic kidney disease 2-like 1 protein","j"
"TU22429",623.646789846955,22.6787780041363,2.77550755214525,9.00675142861572e-17,2.41238385386592e-14,"LOC111507959","G12616","arp2/3 complex-activating protein rickA-like","refseq","XM_023163352.1","arp2/3 complex-activating protein rickA-like, transcript variant X2","="
"TU22427",2797.2815026777,-0.988459839835674,0.387337289675374,0.000628871725044074,0.00707338197081296,"LOC111507959","G12616","arp2/3 complex-activating protein rickA-like","refseq","XM_023163351.1","arp2/3 complex-activating protein rickA-like, transcript variant X1","="
"TU21889",40.5363954697769,18.0522549778429,3.3539286771043,3.20803411032624e-08,1.51953066065453e-06,"LOC111507762","G12290","sphingosine kinase 2-like","refseq","XM_023163108.1","sphingosine kinase 2-like, transcript variant X2","="
"TU34901",4571.49837627074,0.575424472992654,0.172993486340763,0.000369231498427728,0.00452358666498111,"LOC111512791","G19982","ABC transporter F family member 4-like","refseq","XM_023168950.1","ABC transporter F family member 4-like","="
"TU8286",986.751019433071,0.669190692359387,0.260349672069536,0.00267207222419942,0.0229589773613996,"LOC111502430","G4604","GRAM domain-containing protein 1B-like","refseq","XM_023156508.1","GRAM domain-containing protein 1B-like","y"
"TU8282",11644.6611246751,0.485524787197367,0.167418883234771,0.00199422558580647,0.0180823407763179,"LOC111502428","G4600","zonadhesin-like","refseq","XM_023156505.1","zonadhesin-like, transcript variant X1","="
"TU15507",95.1386154497817,6.85715612476072,6.82644472818558,0.002878691138191,0.0243631896055583,"LOC111505318","G8754","activin receptor type-2A","refseq","XM_023160097.1","activin receptor type-2A, transcript variant X1","j"
"TU15504",1451.65639008024,24.3651565176441,2.55905306949055,4.2313142233598e-22,2.29670464072958e-19,"LOC111505318","G8754","activin receptor type-2A","refseq","XM_023160097.1","activin receptor type-2A, transcript variant X1","o"
"TU18158",5662.99483311902,0.755929164821294,0.197791021651833,2.72672444578812e-05,0.000505054483167621,"LOC111506298","G10199","enhancer of mRNA-decapping protein 3","refseq","XM_023161328.1","enhancer of mRNA-decapping protein 3","j"
"TU22286",111.610373306905,0.954870578285922,0.21609275702882,7.2316773134944e-07,2.18004329053763e-05,"LOC111507904","G12527","uncharacterized LOC111507904","refseq","XM_023163286.1","uncharacterized LOC111507904","j"
"TU22285",673.926562801304,0.747982152765655,0.154558781975585,2.95229686841703e-07,1.01584114982593e-05,"LOC111507902","G12526","disintegrin and metalloproteinase domain-containing protein 10-like","refseq","XM_023163285.1","disintegrin and metalloproteinase domain-containing protein 10-like","p"
"TU26055",303.367628580831,20.6414189567573,2.08915423220299,1.87878888111733e-23,1.27939948048772e-20,"LOC111509362","G14707","single-minded homolog 1","refseq","XM_023165087.1","single-minded homolog 1","="
"TU23485",10562.8342331141,0.581729709381144,0.19507268766428,0.00113729599671397,0.0115027247915407,NA,"G13231","* SCAN domain-containing protein 3","novel","KAE9535278","SCAN domain-containing protein 3","u"
"TU11992",68.1984541955111,-1.45927880530354,0.820277583692011,0.000925245170217765,0.00970607993440614,"LOC111503873","G6706","sodium channel protein 60E-like","refseq","XM_023158303.1","sodium channel protein 60E-like","j"
"TU11996",811.341462585697,-1.70201522675173,0.471518624382182,2.22532148104333e-06,5.7814876998774e-05,"LOC111503882","G6708","uncharacterized LOC111503882","refseq","XR_002721927.1","uncharacterized LOC111503882, transcript variant X2","="
