Sequence Name	Annotation GO ID
TU1	
TU2	
TU4	
TU3	
TU5	GO:0003676
TU6	
TU7	
TU9	
TU8	
TU10	GO:0016021,GO:0046872
TU11	GO:0016021
TU12	GO:0016021
TU13	GO:0016021,GO:0046872
TU14	GO:0005198,GO:0005515,GO:0005764,GO:0015031,GO:1904263
TU15	GO:0005198,GO:0005515,GO:0005764,GO:0015031,GO:1904263
TU17	GO:0004672,GO:0005524,GO:0006468
TU16	
TU18	
TU20	
TU21	
TU19	GO:0005622,GO:0006508,GO:0008234,GO:0044267
TU23	
TU26	GO:0003676
TU22	
TU25	GO:0003676
TU24	GO:0003676
TU27	
TU32	GO:0016021,GO:0022857,GO:0055085
TU33	GO:0016021,GO:0022857,GO:0055085
TU34	GO:0016021,GO:0022857,GO:0055085
TU28	
TU31	GO:0016021,GO:0022857,GO:0055085
TU29	
TU30	
TU35	
TU36	GO:0016021,GO:0022857,GO:0055085
TU37	GO:0016021,GO:0022857,GO:0055085
TU39	
TU38	
TU40	
TU41	
TU42	GO:0005515
TU43	GO:0008643,GO:0016021
TU44	GO:0008643,GO:0016021
TU49	GO:0003677,GO:0003917,GO:0006265
TU48	GO:0003677,GO:0003917,GO:0005634,GO:0006265
TU50	GO:0003677,GO:0003917,GO:0005634,GO:0006265
TU51	GO:0003677,GO:0003917,GO:0005634,GO:0006265
TU54	
TU55	
TU56	
TU57	
TU52	
TU45	
TU46	
TU47	
TU53	
TU58	GO:0000178,GO:0006396,GO:0006401
TU60	
TU59	GO:0003676,GO:0015074
TU61	
TU63	
TU64	
TU65	
TU62	
TU66	GO:0008083,GO:0016020,GO:0035099
TU67	
TU68	GO:0004803,GO:0006313
TU72	GO:0030488,GO:0046872,GO:0106050
TU69	GO:0030488,GO:0046872,GO:0106050
TU71	GO:0030488,GO:0046872,GO:0106050
TU73	GO:0030488,GO:0046872,GO:0106050
TU70	GO:0030488,GO:0046872,GO:0106050
TU74	GO:0004089,GO:0008270
TU75	
TU76	
TU77	
TU78	GO:0002098,GO:0005634,GO:0005737,GO:0033588
TU79	GO:0002098,GO:0005634,GO:0005737,GO:0033588
TU85	
TU82	
TU83	
TU84	
TU86	
TU80	
TU81	
TU87	
TU88	
TU100	GO:0005523,GO:0051694
TU92	GO:0005523,GO:0051694
TU97	GO:0005523,GO:0051694
TU91	GO:0005523,GO:0051694
TU96	GO:0005523,GO:0051694
TU98	GO:0005523,GO:0051694
TU95	GO:0005523,GO:0051694
TU99	GO:0005523,GO:0051694
TU90	GO:0005523,GO:0051694
TU93	GO:0005523,GO:0051694
TU94	GO:0005523,GO:0051694
TU89	
TU101	
TU105	GO:0005634,GO:0005737,GO:0019284,GO:0019509,GO:0046523
TU102	GO:0005634,GO:0005737,GO:0019284,GO:0019509,GO:0046523
TU103	GO:0005634,GO:0005737,GO:0019284,GO:0019509,GO:0046523
TU104	GO:0005634,GO:0005737,GO:0019284,GO:0019509,GO:0046523
TU106	GO:0016021
TU107	GO:0005634,GO:0008270
TU108	GO:0005634,GO:0008270
TU109	GO:0005634,GO:0008270
TU110	GO:0005634,GO:0008270
TU111	GO:0005634,GO:0008270
TU112	
TU113	
TU115	GO:0004497,GO:0005777,GO:0008218,GO:0016874
TU114	GO:0003824
TU117	GO:0016021,GO:0022857,GO:0055085
TU118	GO:0016021,GO:0022857,GO:0055085
TU116	GO:0046983
TU119	GO:0016021,GO:0022857,GO:0055085
TU120	
TU121	GO:0016021,GO:0022857,GO:0055085
TU123	GO:0016021,GO:0022857,GO:0055085
TU122	GO:0022857,GO:0055085
TU124	
TU130	GO:0004601,GO:0006979,GO:0020037,GO:0048477
TU132	
TU133	
TU126	GO:0005509,GO:0005783,GO:0016301,GO:0016310
TU127	GO:0005509,GO:0005783,GO:0016301,GO:0016310
TU129	GO:0005509,GO:0016301,GO:0016310
TU134	GO:0008168,GO:0032259
TU135	GO:0008168,GO:0032259
TU128	GO:0005509,GO:0016301,GO:0016310
TU136	
TU131	GO:0000166,GO:0004775,GO:0004776,GO:0005739,GO:0006099
TU125	GO:0003700,GO:0006355
TU143	GO:0003713,GO:0007219,GO:0016607,GO:0045944
TU145	
TU142	GO:0003713,GO:0007219,GO:0016607,GO:0045944
TU144	GO:0003713,GO:0007219,GO:0016607,GO:0045944
TU137	
TU138	
TU139	GO:0005887
TU140	GO:0005887
TU146	GO:0016021
TU147	GO:0016021
TU141	
TU148	GO:0004767,GO:0006685
TU150	
TU149	
TU151	GO:0016020
TU152	GO:0005737,GO:0046872
TU153	GO:0046872
TU154	GO:0000413,GO:0003755,GO:0005509,GO:0005783
TU156	
TU155	
TU172	GO:0016020
TU169	
TU171	GO:0016021
TU173	GO:0016021
TU170	GO:0016021
TU174	GO:0016021
TU168	GO:0016021
TU162	
TU175	
TU160	GO:0008324,GO:0016021,GO:0098655
TU161	GO:0008324,GO:0016021,GO:0098655
TU157	GO:0008324,GO:0016021,GO:0098655
TU158	GO:0008324,GO:0016021,GO:0098655
TU159	GO:0008324,GO:0016021,GO:0098655
TU163	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0016887,GO:0030286,GO:0045505,GO:0051959,GO:0097729
TU167	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286,GO:0045505,GO:0051959,GO:0097729
TU166	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286,GO:0045505,GO:0051959,GO:0097729
TU176	GO:0005737,GO:0005856,GO:0008017,GO:0031267,GO:0031514,GO:0048870
TU164	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286,GO:0045505,GO:0051959,GO:0097729
TU165	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286,GO:0045505,GO:0051959,GO:0097729
TU178	GO:0016180,GO:0032039
TU177	GO:0003676,GO:0004386,GO:0005524,GO:0016180,GO:0022414,GO:0032039
TU179	GO:0003676,GO:0004386,GO:0005524,GO:0016180,GO:0022414,GO:0032039
TU180	GO:0005515
TU181	GO:0005096,GO:0005737,GO:0050790
TU182	
TU183	
TU184	GO:0005975,GO:0006099,GO:0019752,GO:0030060
TU185	GO:0004518
TU186	
TU187	GO:0016055,GO:0046872
TU188	
TU195	
TU194	GO:0003677,GO:0046872
TU191	
TU192	
TU193	
TU196	
TU197	
TU198	
TU190	
TU189	
TU200	GO:0016021
TU199	GO:0016021
TU201	GO:0031083,GO:0051641
TU202	GO:0016021
TU203	GO:0016829
TU204	GO:0016829
TU205	GO:0005515
TU206	GO:0005515
TU207	GO:0005515
TU208	
TU209	GO:0000049,GO:0002161,GO:0004822,GO:0005524,GO:0006428,GO:0106074
TU210	GO:0000049,GO:0002161,GO:0004822,GO:0005524,GO:0006428,GO:0106074
TU211	GO:0000049,GO:0002161,GO:0004822,GO:0005524,GO:0006428,GO:0106074
TU212	
TU213	GO:0000172,GO:0001682,GO:0004518,GO:0005622,GO:0030677,GO:0033204
TU214	
TU224	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887,GO:0043229
TU227	GO:0003676,GO:0003724,GO:0005524,GO:0016887
TU229	
TU230	
TU218	GO:0003676,GO:0003724,GO:0005524
TU225	GO:0003676,GO:0004386,GO:0005524,GO:0006412,GO:0016787
TU216	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887
TU223	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887,GO:0043229
TU219	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887,GO:0043229
TU228	
TU222	GO:0003676,GO:0004386,GO:0005524,GO:0006412,GO:0016787
TU220	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887,GO:0043229
TU221	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887
TU215	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887,GO:0043229
TU217	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887,GO:0043229
TU226	GO:0003724,GO:0003743,GO:0005524,GO:0006413,GO:0016887,GO:0043229
TU231	GO:0000922,GO:0005737,GO:0005815,GO:0005874,GO:0007020,GO:0043015
TU232	GO:0000922,GO:0005737,GO:0005815,GO:0005874,GO:0007020,GO:0043015
TU233	
TU234	
TU235	
TU236	
TU237	
TU238	GO:0030170,GO:0031071,GO:0044571,GO:0046872,GO:0051536
TU242	GO:0003924,GO:0005525,GO:0006886,GO:0012505
TU243	GO:0003924,GO:0005525,GO:0006886,GO:0012505
TU245	GO:0003924,GO:0005525,GO:0006886,GO:0012505
TU244	GO:0003924,GO:0005525,GO:0006886,GO:0012505
TU247	GO:0004601
TU239	
TU240	
TU241	
TU246	
TU248	
TU249	
TU250	GO:0005515
TU252	GO:0005515
TU262	GO:0005515
TU270	
TU253	GO:0005515,GO:0005912,GO:0014069,GO:0016323,GO:0043113,GO:0045197,GO:0045211,GO:0098609,GO:0098887,GO:0098968
TU254	GO:0005515
TU255	GO:0005515,GO:0016020
TU257	GO:0005515
TU258	GO:0005515
TU260	GO:0005515,GO:0005912,GO:0014069,GO:0016323,GO:0043113,GO:0045197,GO:0045211,GO:0098609,GO:0098887,GO:0098968
TU261	GO:0005515,GO:0005912,GO:0014069,GO:0016323,GO:0043113,GO:0045197,GO:0045211,GO:0098609,GO:0098887,GO:0098968
TU263	GO:0005515
TU264	GO:0005515,GO:0016020
TU267	GO:0005515,GO:0005912,GO:0014069,GO:0016323,GO:0043113,GO:0045197,GO:0045211,GO:0098609,GO:0098887,GO:0098968
TU268	GO:0005515
TU269	GO:0005515,GO:0016020
TU271	
TU273	
TU272	
TU274	
TU251	GO:0005515
TU256	GO:0005515,GO:0005912,GO:0014069,GO:0016323,GO:0043113,GO:0045197,GO:0045211,GO:0098609,GO:0098887,GO:0098968
TU259	GO:0005515
TU265	GO:0005515
TU266	GO:0005515
TU275	
TU276	
TU277	
TU278	
TU281	GO:0000164,GO:0006470,GO:0030496,GO:0032154,GO:0106306,GO:0106307
TU282	GO:0000164,GO:0006470,GO:0030496,GO:0032154,GO:0106306,GO:0106307
TU280	GO:0000164,GO:0006470,GO:0030496,GO:0032154,GO:0106306,GO:0106307
