"qry_transcript_id","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code","male_log2FoldChange","female_log2FoldChange"
"TU1229","LOC111503702","G627","ATP synthase subunit g","refseq","XM_023158075.1","ATP synthase subunit g, mitochondrial","=",-1.05173385907984,-1.02546503405719
"TU27597","LOC111509949","G15583","small nuclear ribonucleoprotein F","refseq","XM_023165804.1","small nuclear ribonucleoprotein F, transcript variant X1","=",-0.626720567369528,-0.863093800163225
"TU32294","LOC111511811","G18403","choline transporter-like protein 1","refseq","XM_023167828.1","choline transporter-like protein 1","j",1.25155908851727,0.677754624254439
"TU38565",NA,"G22289","* ubiquitin carboxyl-terminal hydrolase 2 ","novel","XP_023013521","ubiquitin carboxyl-terminal hydrolase 2 isoform X2","u",2.33449450410574,3.62810080483927
"TU4612","LOC111517452","G2560","regucalcin-like","refseq","XM_023173611.1","regucalcin-like, transcript variant X1","j",-2.02927081921942,-2.773326226538
"TU32836","LOC111512035","G18749","thioredoxin-like protein 4A","refseq","XM_023168126.1","thioredoxin-like protein 4A, transcript variant X1","=",-1.20387211569568,-1.48591676271502
"TU20067",NA,"G11267","* Transposable element Tc3 transposase","novel","VEN41155","Transposable element Tc3 transposase","r",-0.674209308534128,-0.68184315309153
"TU30470","LOC111511096","G17286","nucleolar protein 58","refseq","XM_023167098.1","nucleolar protein 58","j",-0.641041753046492,-0.575512529661843
"TU30471","LOC111511102","G17287","ubiquitin-conjugating enzyme E2 G2","refseq","XM_023167106.1","ubiquitin-conjugating enzyme E2 G2","=",-0.665854306026627,-0.454687541743779
"TU8282","LOC111502428","G4600","zonadhesin-like","refseq","XM_023156505.1","zonadhesin-like, transcript variant X1","=",0.485524787197367,0.541980372861093
"TU22286","LOC111507904","G12527","uncharacterized LOC111507904","refseq","XM_023163286.1","uncharacterized LOC111507904","j",0.954870578285922,0.701184588448636
"TU22285","LOC111507902","G12526","disintegrin and metalloproteinase domain-containing protein 10-like","refseq","XM_023163285.1","disintegrin and metalloproteinase domain-containing protein 10-like","p",0.747982152765655,0.451478064463862
"TU11992","LOC111503873","G6706","sodium channel protein 60E-like","refseq","XM_023158303.1","sodium channel protein 60E-like","j",-1.45927880530354,-1.34070348081417
"TU43546","LOC111516259","G25644","facilitated trehalose transporter Tret1-like","refseq","XM_023172437.1","facilitated trehalose transporter Tret1-like","k",-6.04184119781442,-4.25087148563565
"TU12316","LOC111504022","G6873","twitchin","refseq","XM_023158490.1","twitchin","j",-7.48924152274196,-9.96975088012714
"TU17898","LOC111506207","G10067","angiotensin-converting enzyme-like","refseq","XM_023161219.1","angiotensin-converting enzyme-like","j",-3.44519453664767,-2.16187132542632
"TU40891","LOC111515166","G23789","60S ribosomal protein L39-like","refseq","XM_023171399.1","60S ribosomal protein L39-like","j",0.391872408789649,0.500922432951011
