"qry_transcript_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code"
"TU1227",17611.2296852725,0.630220947004735,0.131294025335743,3.54258277477954e-07,7.6519787935238e-06,"LOC111503667","G625","mitochondrial import receptor subunit TOM70","refseq","XM_023158032.1","mitochondrial import receptor subunit TOM70","="
"TU1229",20029.9294466802,-1.02546503405719,0.350660432055523,0.000264415456056881,0.00265041802831972,"LOC111503702","G627","ATP synthase subunit g","refseq","XM_023158075.1","ATP synthase subunit g, mitochondrial","="
"TU32161",1089.05903439764,-20.6956400281024,3.70604256329345,9.51548644732777e-09,2.90760039501978e-07,"LOC111511748","G18309","tubulin beta chain-like","refseq","XM_023167779.1","tubulin beta chain-like","j"
"TU27597",1363.66777048051,-0.863093800163225,0.152874446093775,1.47881943704447e-09,5.3830675218098e-08,"LOC111509949","G15583","small nuclear ribonucleoprotein F","refseq","XM_023165804.1","small nuclear ribonucleoprotein F, transcript variant X1","="
"TU32294",5864.49885316644,0.677754624254439,0.191088629282529,7.26517555833298e-05,0.000871821066999958,"LOC111511811","G18403","choline transporter-like protein 1","refseq","XM_023167828.1","choline transporter-like protein 1","j"
"TU38565",3613.58995871128,3.62810080483927,0.33601504903388,4.34198419383663e-29,3.21175751575795e-26,NA,"G22289","* ubiquitin carboxyl-terminal hydrolase 2 ","novel","XP_023013521","ubiquitin carboxyl-terminal hydrolase 2 isoform X2","u"
"TU4612",16118.5247041662,-2.773326226538,0.526234329538982,1.70319624457034e-09,6.13150648045322e-08,"LOC111517452","G2560","regucalcin-like","refseq","XM_023173611.1","regucalcin-like, transcript variant X1","j"
"TU2759",118.434056880428,1.31201787229976,0.332459725267968,4.30310710291596e-06,7.19705677741968e-05,"LOC111510623","G1472","uncharacterized LOC111510623","refseq","XM_023166549.1","uncharacterized LOC111510623","="
"TU21359",1080.72577227696,0.645971207680963,0.270659742759888,0.00374506080021058,0.0243686910558433,"LOC111507538","G11992","zinc finger matrin-type protein 5","refseq","XM_023162862.1","zinc finger matrin-type protein 5","j"
"TU32836",724.175632907508,-1.48591676271502,0.289375125185409,1.5622563840091e-08,4.56383750213805e-07,"LOC111512035","G18749","thioredoxin-like protein 4A","refseq","XM_023168126.1","thioredoxin-like protein 4A, transcript variant X1","="
"TU20067",1139.14137192322,-0.68184315309153,0.0845909728035161,1.29542108158018e-16,1.84006116240107e-14,NA,"G11267","* Transposable element Tc3 transposase","novel","VEN41155","Transposable element Tc3 transposase","r"
"TU30478",2513.46749491578,-0.96490560552805,0.40663636759259,0.00160006974836073,0.0121262583442363,"LOC111511106","G17293","protein phosphatase 1 regulatory subunit 12B-like","refseq","XM_023167109.1","protein phosphatase 1 regulatory subunit 12B-like","j"
"TU30477",4069.38529520596,1.33639140963591,0.400914359360211,4.13349937998806e-05,0.000534994089445533,"LOC111511106","G17293","protein phosphatase 1 regulatory subunit 12B-like","refseq","XM_023167109.1","protein phosphatase 1 regulatory subunit 12B-like","="
"TU30470",14857.9081155107,-0.575512529661843,0.154044273369196,5.35094139470314e-05,0.000670004172590042,"LOC111511096","G17286","nucleolar protein 58","refseq","XM_023167098.1","nucleolar protein 58","j"
"TU30471",2456.70001910173,-0.454687541743779,0.139729563436142,0.000527819851684319,0.00476187674495578,"LOC111511102","G17287","ubiquitin-conjugating enzyme E2 G2","refseq","XM_023167106.1","ubiquitin-conjugating enzyme E2 G2","="
"TU38241",1344.28556688863,-1.44606675910171,0.833225247429913,0.00281111446509206,0.0193074512069848,"LOC111514074","G22075","inactive pancreatic lipase-related protein 1-like","refseq","XM_023170319.1","inactive pancreatic lipase-related protein 1-like","j"
