"qry_transcript_id","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code","female_log2FoldChange"
"TU1227","LOC111503667","G625","mitochondrial import receptor subunit TOM70","refseq","XM_023158032.1","mitochondrial import receptor subunit TOM70","=",0.630220947004735
"TU32161","LOC111511748","G18309","tubulin beta chain-like","refseq","XM_023167779.1","tubulin beta chain-like","j",-20.6956400281024
"TU2759","LOC111510623","G1472","uncharacterized LOC111510623","refseq","XM_023166549.1","uncharacterized LOC111510623","=",1.31201787229976
"TU21359","LOC111507538","G11992","zinc finger matrin-type protein 5","refseq","XM_023162862.1","zinc finger matrin-type protein 5","j",0.645971207680963
"TU30478","LOC111511106","G17293","protein phosphatase 1 regulatory subunit 12B-like","refseq","XM_023167109.1","protein phosphatase 1 regulatory subunit 12B-like","j",-0.96490560552805
"TU30477","LOC111511106","G17293","protein phosphatase 1 regulatory subunit 12B-like","refseq","XM_023167109.1","protein phosphatase 1 regulatory subunit 12B-like","=",1.33639140963591
"TU38241","LOC111514074","G22075","inactive pancreatic lipase-related protein 1-like","refseq","XM_023170319.1","inactive pancreatic lipase-related protein 1-like","j",-1.44606675910171
"TU38240","LOC111514073","G22074","GRAM domain-containing protein 2B-like","refseq","XM_023170318.1","GRAM domain-containing protein 2B-like","k",-0.875977928356805
"TU24763",NA,"G13935","* ---NA---","novel",NA,"---NA---","u",-21.0356211696907
"TU24761","LOC111508881","G13934","cytochrome P450 6a2-like","refseq","XM_023164508.1","cytochrome P450 6a2-like","=",-2.41520347703563
"TU21888","LOC111507762","G12290","sphingosine kinase 2-like","refseq","XM_023163106.1","sphingosine kinase 2-like, transcript variant X1","=",-1.47154003527323
"TU34903","LOC111512794","G19984","protein PAT1 homolog 1","refseq","XM_023168953.1","protein PAT1 homolog 1","j",-1.09296440304901
"TU34904","LOC111512793","G19985","uncharacterized LOC111512793","refseq","XM_023168952.1","uncharacterized LOC111512793","=",-0.886206175928708
"TU8285","LOC111502430","G4603","GRAM domain-containing protein 1B-like","refseq","XM_023156508.1","GRAM domain-containing protein 1B-like","=",-0.669153604020421
"TU8283","LOC111502427","G4601","uncharacterized LOC111502427","refseq","XR_002721731.1","uncharacterized LOC111502427","=",0.471069853971721
"TU9885","LOC111503077","G5535","trissin receptor-like","refseq","XM_023157294.1","trissin receptor-like","j",2.23425407627516
"TU9886","LOC111503077","G5535","trissin receptor-like","refseq","XM_023157294.1","trissin receptor-like","c",1.65014973226202
"TU9889","LOC111503080","G5538","PDF receptor","refseq","XM_023157297.1","PDF receptor, transcript variant X2","=",0.825802256370461
"TU23484","LOC111508399","G13230","alpha-tocopherol transfer protein-like","refseq","XM_023163873.1","alpha-tocopherol transfer protein-like, transcript variant X2","k",-1.13491994501915
"TU45247","LOC111517045","G26954","exportin-2-like","refseq","XM_023173100.1","exportin-2-like","=",-0.946804446865685
"TU11990","LOC111503873","G6705","sodium channel protein 60E-like","refseq","XM_023158303.1","sodium channel protein 60E-like","c",-1.92668562479838
"TU42230","LOC111515711","G24714","putative DNA helicase Ino80","refseq","XM_023171917.1","putative DNA helicase Ino80","j",-22.4136911672091
"TU17273","LOC111506001","G9751","acyl-CoA synthetase short-chain family member 3","refseq","XM_023160915.1","acyl-CoA synthetase short-chain family member 3, mitochondrial, transcript variant X2","x",-4.79455535430643
"TU17277","LOC111506001","G9753","acyl-CoA synthetase short-chain family member 3","refseq","XM_023160915.1","acyl-CoA synthetase short-chain family member 3, mitochondrial, transcript variant X2","j",-1.89554009306215
"TU7070","LOC111501944","G3931","DDB1- and CUL4-associated factor 11","refseq","XM_023155877.1","DDB1- and CUL4-associated factor 11","k",-0.41834677155051
"TU26385",NA,"G14890","* hypothetical protein JTB14_034472","novel","KAG5899214","hypothetical protein JTB14_034472","u",-1.04964814157186
"TU42798","LOC111515948","G25093","putative inorganic phosphate cotransporter","refseq","XM_023172142.1","putative inorganic phosphate cotransporter","c",-2.05912967761127
"TU37882","LOC111513924","G21851","apoptotic chromatin condensation inducer in the nucleus","refseq","XM_023170142.1","apoptotic chromatin condensation inducer in the nucleus, transcript variant X2","k",0.704337616851972
"TU37883","LOC111513924","G21851","apoptotic chromatin condensation inducer in the nucleus","refseq","XM_023170143.1","apoptotic chromatin condensation inducer in the nucleus, transcript variant X3","=",1.56424004369254
"TU6850","LOC111501844","G3781","uncharacterized LOC111501844","refseq","XR_002721656.1","uncharacterized LOC111501844","=",1.8376666408993
"TU6851","LOC111501843","G3782","protein amalgam-like","refseq","XM_023155758.1","protein amalgam-like","j",0.785770905634627
"TU32837","LOC111512035","G18749","thioredoxin-like protein 4A","refseq","XM_023168127.1","thioredoxin-like protein 4A, transcript variant X2","=",0.609640770171577
"TU28649","LOC111510333","G16196","cuticle protein 64-like","refseq","XM_023166234.1","cuticle protein 64-like, transcript variant X1","=",-10.8723551666016
"TU7160","LOC111501982","G3981","syntaxin-1A","refseq","XM_023155920.1","syntaxin-1A, transcript variant X2","j",0.857301964618425
"TU14209","LOC111504793","G7997","uncharacterized LOC111504793","refseq","XM_023159484.1","uncharacterized LOC111504793","m",-1.35805503097887
"TU30278","LOC111511012","G17166","organic cation transporter protein-like","refseq","XM_023167007.1","organic cation transporter protein-like","j",-16.2816173024569
"TU14207","LOC111504792","G7996","uncharacterized LOC111504792","refseq","XM_023159483.1","uncharacterized LOC111504792","=",-2.28474042675556
"TU7815","LOC111502247","G4349","cuticle protein-like","refseq","XM_023156263.1","cuticle protein-like","j",2.52043440280549
"TU7814","LOC111502247","G4349","cuticle protein-like","refseq","XM_023156263.1","cuticle protein-like","=",-21.1492731019135
"TU2362","LOC111508852","G1276","poly(rC)-binding protein 3","refseq","XM_023164499.1","poly(rC)-binding protein 3, transcript variant X4","=",0.847755315485331
"TU2940","LOC111511596","G1581","cyclic nucleotide-gated cation channel beta-1-like","refseq","XM_023167635.1","cyclic nucleotide-gated cation channel beta-1-like, transcript variant X2","j",-2.59364899034661
"TU2949","LOC111511416","G1584","diacylglycerol O-acyltransferase 1","refseq","XM_023167432.1","diacylglycerol O-acyltransferase 1","j",-0.603366402772998
"TU33999","LOC111512458","G19442","COMM domain-containing protein 5-like","refseq","XM_023168579.1","COMM domain-containing protein 5-like","j",0.523870886840382
"TU3015","LOC111511965","G1619","uncharacterized LOC111511965","refseq","XR_002723005.1","uncharacterized LOC111511965","=",0.433629470050129
"TU3017","LOC111511973","G1621","uncharacterized LOC111511973","refseq","XM_023168057.1","uncharacterized LOC111511973","=",-0.768674188991317
"TU8951","LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156863.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X1","=",22.1105679100778
"TU8955","LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156864.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X2","j",24.022215651583
"TU9605","LOC111502947","G5369","alpha-tocopherol transfer protein-like","refseq","XM_023157137.1","alpha-tocopherol transfer protein-like, transcript variant X2","j",-1.50089116343576
"TU32311","LOC111511813","G18415","bax inhibitor 1","refseq","XM_023167830.1","bax inhibitor 1","=",-0.3715782393067
"TU20923","LOC111507373","G11744","protein phosphatase PHLPP-like protein","refseq","XM_023162671.1","protein phosphatase PHLPP-like protein","c",1.17119290355267
"TU39090","LOC111514411","G22616","proline-rich extensin-like protein EPR1","refseq","XM_023170650.1","proline-rich extensin-like protein EPR1","j",21.4221257185379
"TU12155","LOC111503962","G6797","clavesin-1-like","refseq","XM_023158413.1","clavesin-1-like, transcript variant X1","=",-2.15145419003585
"TU12154","LOC111503959","G6796","clavesin-1-like","refseq","XM_023158409.1","clavesin-1-like, transcript variant X1","k",-1.11219457108899
"TU39329","LOC111514553","G22773","60S ribosomal protein L7","refseq","XM_023170814.1","60S ribosomal protein L7","=",0.439732756119395
"TU29572",NA,"G16746","* uncharacterized protein LOC108907343","novel","XP_018566539","uncharacterized protein LOC108907343","u",2.06830297595127
"TU27522","LOC111509923","G15531","uncharacterized LOC111509923","refseq","XR_002722701.1","uncharacterized LOC111509923, transcript variant X1","=",2.46759053886184
"TU15310","LOC111505241","G8641","zinc finger RNA-binding protein-like","refseq","XM_023160017.1","zinc finger RNA-binding protein-like, transcript variant X2","j",1.23033894526669
"TU45170","LOC111517017","G26893","uncharacterized LOC111517017","refseq","XR_002723773.1","uncharacterized LOC111517017","c",-0.637020836143212
"TU21969","LOC111507793","G12342","FAD synthase-like","refseq","XM_023163148.1","FAD synthase-like","=",-0.478379435168028
