Manuscript_Transcript_Name,Full_Transcript_Name,Query_Transcript_ID,RefSeq_ID,DE_Category,Section
juvenile hormone acid O-methyltransferase,"juvenile hormone acid O-methyltransferase-like, transcript variant X1",TU26715,XM_023165404.1,Shared,3.5.1.1
juvenile hormone esterase,juvenile hormone esterase-like,TU43771,XM_023172544.1,Shared,3.5.1.1
juvenile hormone esterase,juvenile hormone esterase-like,TU43784,XM_023172552.1,Shared,3.5.1.1
juvenile hormone esterase,juvenile hormone esterase-like,TU33660,XM_023168438.1,Shared,3.5.1.1
juvenile hormone esterase,juvenile hormone esterase-like,TU43124,XM_023172280.1,Shared,3.5.1.1
juvenile hormone esterase,juvenile hormone esterase-like,TU2162,XM_023163290.1,Shared,3.5.1.1
juvenile hormone esterase,juvenile hormone esterase-like,TU33661,XM_023168438.1,Shared,3.5.1.1
apolipophorin,apolipophorins,TU6511,XM_023174635.1,Shared,3.5.1.1
juvenile hormone epoxide hydrolase,juvenile hormone epoxide hydrolase 1-like,TU24457,XM_023164376.1,Shared,3.5.1.1
ecdysone 20-monooxygenase,"ecdysone 20-monooxygenase, transcript variant X2",TU26829,XM_023165447.1,Shared,3.5.1.1
ecdysone-induced protein 74EF,ecdysone-induced protein 74EF,TU28561,XM_023166209.1,Shared,3.5.1.1
ecdysone-inducible protein E75,"ecdysone-inducible protein E75, transcript variant X2",TU1729,XM_023160901.1,Shared,3.5.1.1
FOXO transcription factor,forkhead box protein O-like,TU18234,XM_023161366.1,Shared,3.5.1.1
FOXO transcription factor,forkhead box protein O-like,TU7563,XM_023156134.1,Shared,3.5.1.1
cytochrome b,cytochrome b,TU35976,APX40640,Shared,3.5.1.2
cytochrome b,cytochrome b,TU35977,APX40640,Shared,3.5.1.2
V-type proton ATPase subunit H,"V-type proton ATPase subunit H, transcript variant X1",TU3432,XM_023170356.1,Shared,3.5.1.2
TCA cycle enzyme,malate dehydrogenase,TU1666,XM_023160459.1,Shared,3.5.1.2
TCA cycle enzyme,isocitrate dehydrogenase [NAD] subunit gamma,TU33675,XM_023168446.1,Shared,3.5.1.2
TCA cycle enzyme,isocitrate dehydrogenase [NADP] cytoplasmic,TU16467,XM_023160527.1,Shared,3.5.1.2
TCA cycle enzyme,ATP-citrate synthase,TU21689,XM_023163006.1,Shared,3.5.1.2
TCA cycle enzyme,ATP-citrate synthase,TU21690,XM_023163022.1,Shared,3.5.1.2
TCA cycle enzyme,aconitate hydratase,TU40007,XM_023171040.1,Shared,3.5.1.2
TCA cycle enzyme,succinate dehydrogenase [ubiquinone] iron-sulfur subunit,TU43700,XM_023172509.1,Shared,3.5.1.2
TCA cycle enzyme,succinate dehydrogenase cytochrome b560 subunit,TU28836,XM_023166327.1,Shared,3.5.1.2
pyruvate dehydrogenase,pyruvate dehydrogenase,TU9869,XM_023157283.1,Shared,3.5.1.2
alcohol dehydrogenase,"alcohol dehydrogenase [NADP(+)]-like, transcript variant X2",TU10050,XM_023157370.1,Shared,3.5.1.2
phosphoenolpyruvate carboxykinase,"phosphoenolpyruvate carboxykinase [GTP]-like, transcript variant X1",TU38804,XM_023170528.1,Shared,3.5.1.2
trehalase,"trehalase-like, transcript variant X2",TU2522,XM_023165148.1,Shared,3.5.1.3
hydroxyacyl-CoA dehydrogenase,3-hydroxyacyl-CoA dehydrogenase type-2,TU24984,XM_023164600.1,Shared,3.5.1.3
acyl-CoA dehydrogenase,"probable medium-chain specific acyl-CoA dehydrogenase, mitochondrial",TU14367,XM_023159561.1,Shared,3.5.1.3
acyl-CoA Δ11 desaturase,acyl-CoA Delta(11) desaturase-like,TU21577,XM_023162963.1,Shared,3.5.1.3
lipase 1-like,lipase 1-like,TU2390,XM_023164756.1,Shared,3.5.1.3
lipase 3-like,lipase 3-like,TU23989,XM_023164124.1,Shared,3.5.1.3
lipase 1-like,lipase 1-like,TU15067,XM_023159911.1,Shared,3.5.1.3
lipid storage droplet,"lipid storage droplets surface-binding protein 2-like, transcript variant X3",TU1096,XM_023157268.1,Shared,3.5.1.3
lipid storage droplet,"lipid storage droplets surface-binding protein 2-like, transcript variant X2",TU1097,XM_023157259.1,Shared,3.5.1.3
vitellogenin,vitellogenin-like,TU17167,XM_023160872.1,Shared,3.5.1.3
platelet glycoprotein 4,platelet glycoprotein 4-like,TU44100,XM_023172665.1,Shared,3.5.1.3
insulin-like growth factor-binding protein 7,insulin-like growth factor-binding protein 7,TU32756,XM_023168088.1,Shared,3.5.1.3
phospholipase C,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase, transcript variant X3",TU5864,XM_023174271.1,Shared,3.5.1.3
hypoxia-inducible factor 1-alpha,"hypoxia-inducible factor 1-alpha-like, transcript variant X2",TU24219,XM_023164233.1,Shared,3.5.1.4
protein lethal(2) essential for life,protein lethal(2)essential for life-like,TU64,XM_023173699.1,Shared,3.5.1.4
pericentriolar material 1,"pericentriolar material 1 protein, transcript variant X1",TU15796,XM_023160219.1,Shared,3.5.1.4
pericentriolar material 1,"pericentriolar material 1 protein, transcript variant X3",TU15798,XM_023160221.1,Shared,3.5.1.4
pericentriolar material 1,"pericentriolar material 1 protein, transcript variant X2",TU15799,XM_023160220.1,Shared,3.5.1.4
pericentriolar material 1,"pericentriolar material 1 protein, transcript variant X2",TU15800,XM_023160220.1,Shared,3.5.1.4
centrosome-associated protein 350-like,centrosome-associated protein 350-like,TU24298,XM_023164285.1,Shared,3.5.1.4
tubulin,tubulin beta-1 chain,TU39876,XM_023170988.1,Shared,3.5.1.4
tubulin,tubulin-specific chaperone C,TU1230,XM_023158085.1,Shared,3.5.1.4
tubulin,gamma-tubulin complex component 5,TU14587,XM_023159667.1,Shared,3.5.1.4
microtubule-actin cross-linking factor,microtubule-actin cross-linking factor 1,TU25077,XM_023164651.1,Shared,3.5.1.4
microtubule-actin cross-linking factor,microtubule-actin cross-linking factor 1,TU25084,XM_023164651.1,Shared,3.5.1.4
microtubule-actin cross-linking factor,microtubule-actin cross-linking factor 1,TU25073,XM_023164651.1,Shared,3.5.1.4
microtubule-associated protein futsch,microtubule-associated protein futsch,TU11025,XM_023157805.1,Shared,3.5.1.4
dynein motor protein,dynein light chain roadblock-type 2,TU8568,XM_023156674.1,Shared,3.5.1.4
dynein motor protein,"dynein heavy chain, cytoplasmic",TU9409,XM_023157076.1,Shared,3.5.1.4
dynein motor protein,dynein light chain Tctex-type,TU30639,XM_023167164.1,Shared,3.5.1.4
HSP83,heat shock protein 83,TU17424,XM_023160972.1,Shared,3.5.1.4
DnaJ chaperone,"dnaJ homolog subfamily C member 8, transcript variant X1",TU18236,XM_023161367.1,Shared,3.5.1.4
DnaJ chaperone,dnaJ homolog subfamily C member 7,TU24330,XM_023164301.1,Shared,3.5.1.4
DnaJ chaperone,dnaJ homolog subfamily C member 2,TU36497,XM_023169606.1,Shared,3.5.1.4
DnaJ chaperone,dnaJ homolog subfamily C member 10-like,TU12762,XM_023158712.1,Shared,3.5.1.4
10 kDa mitochondrial HSP,"10 kDa heat shock protein, mitochondrial-like",TU8441,XM_023156590.1,Shared,3.5.1.4
60 kDa mitochondrial HSP,"60 kDa heat shock protein, mitochondrial",TU2118,XP_018572799,Shared,3.5.1.4
glutathione S-transferase,glutathione S-transferase 1-like,TU41429,XM_023171602.1,Shared,3.5.1.4
glutathione S-transferase,glutathione S-transferase 1-like,TU3649,XM_023171444.1,Shared,3.5.1.4
glutathione S-transferase,glutathione S-transferase 1-like,TU3641,XM_023171435.1,Shared,3.5.1.4
glutathione S-transferase,glutathione S-transferase 1-like,TU3642,XM_023171435.1,Shared,3.5.1.4
glutathione S-transferase,"glutathione S-transferase D7-like, transcript variant X1",TU3643,XM_023171412.1,Shared,3.5.1.4
glutathione S-transferase,glutathione S-transferase-like,TU40237,XM_023171141.1,Shared,3.5.1.4
glutathione S-transferase,glutathione S-transferase-like,TU37686,XM_023170075.1,Shared,3.5.1.4
headcase protein,headcase protein,TU31180,XP_023023996,Shared,3.5.1.4
cytochrome P450,cytochrome P450 4C1-like,TU33967,AGT57836,Shared,3.5.1.4
cytochrome P450,cytochrome P450 9e2-like,TU18704,XP_023017890,Shared,3.5.1.4
cytochrome P450,cytochrome P450 4c3-like,TU44798,XM_023172927.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 4d2-like,TU1817,KAG5891040,Shared,3.5.1.4
cytochrome P450,"cytochrome P450 6a2-like, transcript variant X2",TU24756,XM_023164506.1,Shared,3.5.1.4
cytochrome P450,"cytochrome P450 9e2-like, transcript variant X1",TU6642,XM_023174711.1,Shared,3.5.1.4
